ticker,earn_date
FUTU,20230328
FUTU,20221121
FUTU,20220830
GD,20250423
GD,20250129
GD,20241023
GD,20240724
GD,20240424
GD,20240124
GD,20231025
GD,20230726
GD,20230426
GD,20230125
GD,20221026
GD,20220727
GDS,20250520
GDS,20250319
GDS,20241119
GDS,20240821
GDS,20240522
GDS,20240326
GDS,20231122
GDS,20230822
GDS,20230525
GDS,20230315
GDS,20221121
GDS,20220823
GE,20250422
GE,20250123
GE,20241022
GE,20240723
GE,20240423
GE,20240123
GE,20231024
GE,20230725
GE,20230425
GE,20230124
GE,20221025
GE,20220726
GEN,20250506
GEN,20250130
GEN,20241030
GEN,20240801
GEN,20240509
GEN,20240201
GEN,20231107
GEN,20230803
GEN,20230511
GEN,20230202
GEN,20221108
GEN,20220804
GFI,20220824
GILD,20250424
GILD,20250211
GILD,20241106
GILD,20240808
GILD,20240425
GILD,20240206
GILD,20231107
GILD,20230803
GILD,20230427
GILD,20230202
GILD,20221027
GILD,20220802
GIS,20250625
GIS,20250319
GIS,20241218
GIS,20240918
GIS,20240626
GIS,20240320
GIS,20231220
GIS,20230920
GIS,20230628
GIS,20230323
GIS,20221220
GIS,20220921
GLW,20250429
GLW,20250129
GLW,20241029
GLW,20240730
GLW,20240430
GLW,20240130
GLW,20231024
GLW,20230725
GLW,20230425
GLW,20230131
GLW,20221025
GLW,20220726
GM,20250429
GM,20250128
GM,20241022
GM,20240723
GM,20240423
GM,20240130
GM,20231024
GM,20230725
GM,20230425
GM,20230131
GM,20221025
GM,20220726
GMAB,20250508
GMAB,20250212
GMAB,20241106
GMAB,20240808
GMAB,20240502
GMAB,20240214
GMAB,20231107
GMAB,20230803
GMAB,20230510
GMAB,20230222
GMAB,20221109
GMAB,20220810
GME,20250610
GME,20250325
GME,20241210
GME,20240910
GME,20240607
GME,20240326
GME,20231206
GME,20230906
GME,20230607
GME,20230321
GME,20221207
GME,20220907
GOOG,20250424
GOOG,20250204
GOOG,20241029
GOOG,20240723
GOOG,20240425
GOOG,20240130
GOOG,20231024
GOOG,20230725
GOOG,20230425
GOOG,20230202
GOOG,20221025
GOOG,20220726
GOOGL,20250424
GOOGL,20250204
GOOGL,20241029
GOOGL,20240723
GOOGL,20240425
GOOGL,20240130
GOOGL,20231024
GOOGL,20230725
GOOGL,20230425
GOOGL,20230202
GOOGL,20221025
GOOGL,20220726
GPN,20250506
GPN,20250213
GPN,20241030
GPN,20240807
GPN,20240501
GPN,20240214
GPN,20231031
GPN,20230801
GPN,20230501
GPN,20230210
GPN,20221031
GPN,20220801
GS,20250414
GS,20250115
GS,20241015
GS,20240715
