tk,n,rho_infl,p_infl,rho_trad,p_trad,mean_pre_bps,mean_trad_bps,mean_infl_bps
GEN,647706,0.0282363271781567,2.3083458089575208e-114,0.0050985205426454,4.0726781117541785e-05,-9.010167982338553,1.114357218481766,2.2203832151122325
GOOG,1360603,0.008336084261489,2.3875908766341206e-22,0.0203564682316928,1.17391171082193e-124,-14.141687164774082,15.533132986070536,4.206378204224457
HOLX,892876,0.033928867385408,1.1820293058572187e-225,0.0052234569462323,7.983033772586537e-07,18.36167446782868,-35.72319518370449,0.5767267188933419
IBB,1522763,0.0217557858678453,8.467081354782766e-159,0.0010975857786125,0.1756013809645614,-10.391367832393025,6.283458501056148,0.6116101753333798
ISRG,966568,0.0276260166382469,1.663678461625518e-162,0.018402359346955,3.576695243644195e-73,-40.184377707301685,11.551860818981844,0.1671101509651479
KDP,956307,0.0252924716488745,4.208082078805027e-135,0.0030719856899133,0.0026634397533169,-14.662439196366426,9.33156328261451,0.7542865639255774
KSS,1187965,0.0287549889428195,1.0488123805022514e-215,0.0046556214601692,3.887998380348102e-07,-92.39873884132876,48.00769027063976,1.017672294725216
LOW,1139402,0.0285660276398924,2.739644689122645e-204,0.0074820209876137,1.3868894200402458e-15,-7.622322082245502,-6.50456719107792,3.24875692978638
MCD,86756,0.0155250337946788,4.807653116624362e-06,-0.0029782166567944,0.3803756788104526,13.13110285442106,-25.70380338595113,-0.3471275833089337
MGM,1348458,0.0198492915580226,1.408829190718479e-117,0.0030800673157415,0.0003479916291031,-3.929103944235136,-0.6245693772399066,3.179592545321903
MSFT,1171577,-0.0122562416341363,3.6177476016324366e-40,0.0327376348445311,3.527486906357958e-275,-0.9971738759485904,-2.522830530415373,-1.0063441826535795
NET,1250683,0.0235779892710155,2.884045042821257e-153,0.016202747135736,2.1625639542376552e-73,-125.88667815611235,57.830394445128704,-1.762449289153452
NRG,1012947,0.0196621905005657,3.562421269604428e-87,-0.0030080655429907,0.0024660305658415,-2.914385600017379,-10.936784501196056,-4.060840570739583
NXPI,1021034,0.0155871970002443,6.737751111818176e-56,-0.0011106209368389,0.2617606111408208,-6.52738071582572,-2.4955971436609867,0.8553780633343522
PATH,1252671,0.0297809919728574,1.0488986575497259e-243,0.0037494572899331,2.710623509305694e-05,-142.78280568413348,46.73978332012061,2.6882329413002424
PFE,1168809,0.0265929828545223,7.816553220585609e-182,0.0079166027967729,1.1396864590670274e-17,-38.479576456543526,28.25374451374057,1.6904418992778572
PM,1276444,0.0159250226798893,2.203212090069742e-72,0.0025058362894344,0.0046389516135936,-9.778104624156324,2.5577577354643943,-0.8392147964333334
QQQ,872234,0.006712214264766,3.6376784053585165e-10,-0.0024719458124616,0.020963779765694,0.408286961732625,-0.8836361125950781,-0.0708574628906741
ROST,1140342,0.0201494860707112,1.0303030655385777e-102,0.0097470864618677,2.25964642003796e-25,-19.029024362412954,-2.0726086000752173,-0.8951253747920449
SCZ,591731,0.0214023812875566,6.499885811062839e-61,0.0146281918326435,2.233991848852755e-29,20.894596572457967,-31.287780764272167,0.7961402361544123
SNY,825146,0.0154866027780121,5.9337327951926e-45,0.004112134116405,0.0001874379712528,-4.706520092660949,-2.6744734716342613,1.8907940508523349
STNE,861570,0.0319105254009908,6.690142384757891e-193,-0.0007376571637722,0.4935342941462964,-246.12038522150323,127.19637746107546,4.24597454207658
