tk,n,flow_oc,p_oc,flow_cc,dir_oc,mean_dir,frac_short
HBAN,950,0.017919005714948474,0.581210111893982,0.05067652481052339,,-1.0,1.0
HCA,951,0.008563417240436189,0.7919813174315011,0.062365107442633544,0.04511314556037045,-0.9158780231335436,0.9579390115667719
HD,945,-0.06828675750892456,0.0358287966058568,-0.03349191830106898,-0.06060345674622442,-0.9788359788359788,0.9894179894179894
HOLX,969,-0.1654801513721028,2.215314118474551e-07,-0.1689828448014576,0.019399736724098976,-0.33539731682146545,0.6676986584107327
HON,891,0.038261262232386684,0.2539120652755029,0.094808089216644,0.08146537140849469,-0.44556677890011226,0.7227833894500562
HOOD,933,0.0963699880578058,0.003213505657201136,0.053652234428178805,-0.0016473069952199705,-0.9935691318327974,0.9967845659163987
HPE,945,-0.07773183801604895,0.016848501662699022,-0.06299436085726562,-0.03515888448420528,-0.7904761904761904,0.8952380952380953
HPQ,843,-0.026446050137880928,0.4431756836291564,0.013953007758489342,0.02811293496196938,0.2526690391459075,0.3736654804270463
HR,946,-0.05001684950831028,0.1242193305386222,-0.06590897988916478,0.012069141752375294,-0.9978858350951374,0.9989429175475687
HSBC,948,0.035781836458560645,0.2710674614067563,0.03285732320370017,0.02955628094868426,-0.4050632911392405,0.7025316455696202
HST,940,-0.023501874294514065,0.47171314111131774,-0.054695630115450256,-0.046296571563309394,0.5851063829787234,0.2074468085106383
HWC,952,0.033543175826429045,0.3011880494565985,0.06705727405657691,0.040435411548118555,0.49159663865546216,0.2542016806722689
HWM,907,0.030796056977031368,0.35423381352802435,0.11758860786209654,-0.009032121981611895,0.6185226019845645,0.19073869900771775
IBB,911,0.002091796666873202,0.9497269956522478,0.06620097406188453,0.006816414465295472,-0.3018660812294182,0.6509330406147091
IBM,877,-0.14281629367811524,2.1846201491943346e-05,0.02617506918956067,0.014770672190804716,-0.5096921322690992,0.7548460661345496
IEF,952,-0.0015508216864266932,0.961886008241966,-0.038377461332318716,0.009874635819468068,-0.9978991596638656,0.9989495798319328
IEI,986,0.008672124769761827,0.7856451382824553,-0.0991025562898104,,-1.0,1.0
ILMN,1001,-0.06650736422418971,0.03538722239923688,0.01699943624519708,-0.00788019435952383,-0.936063936063936,0.968031968031968
ING,1000,0.039280444799565745,0.2145754104099502,0.03554638864652522,-0.014565668363538491,-0.99,0.995
INTU,948,0.06937327572946088,0.032701317467188865,0.07389560207910974,0.02175893902530386,-0.9156118143459916,0.9578059071729957
INVH,942,-0.007449566342410454,0.8193805225082923,0.027785113436871175,0.01699925639091908,-0.9978768577494692,0.9989384288747346
IP,943,-0.1844310992012071,1.162998587648875e-08,-0.06725729215667589,-0.026328719188556275,-0.9766702014846236,0.9883351007423118
ISRG,983,-0.01601028092400345,0.6161170270499565,-0.026594475551253504,0.04418508442160705,-0.9694811800610377,0.9847405900305188
IUSG,944,-0.04542298786568082,0.16317480946273594,-0.001775602825650563,-0.015279881231473003,0.4639830508474576,0.2680084745762712
IUSV,952,0.02317184331430793,0.47515784304227277,0.028387061381687135,-0.06453011456052683,-0.792016806722689,0.8960084033613446
IVZ,932,-0.11966779622548225,0.00025068264423043474,-0.12233909193121426,-0.011327415015808178,-0.8733905579399142,0.9366952789699571
IXUS,951,0.040907634598371344,0.2075287589486587,0.07658299414733355,-0.0012309991441151228,-0.9936908517350158,0.9968454258675079
JCI,873,-0.010079684488176687,0.766160396096726,0.010888310882122753,0.007695306287568602,-0.012600229095074456,0.5063001145475372
JD,926,0.020196699005098066,0.5393322811414951,0.0341867189873762,0.05156374898261969,-0.9870410367170627,0.9935205183585313
KBWB,924,0.04054726788079851,0.21818517784604127,0.1244511465798679,0.016236666099490808,-0.4458874458874459,0.7229437229437229
KDP,959,0.0495917979740531,0.1248608399430041,0.11158071723773431,-0.0060645104878177675,-0.7497393117831074,0.8748696558915537
KEY,946,-0.10411615975473747,0.0013422144135754412,-0.10979893784416915,-0.011536653283476717,-0.8097251585623678,0.904862579281184
KHC,934,0.1241910488222044,0.00014174053798418238,0.1968404493382925,0.049425490171710586,-0.7730192719486081,0.8865096359743041
